original_url,id_a,idioma_a,id_b,idioma_b,similitud
https://hitdarderut-haaretz.org/actualia16,en/alternative-commentary16,en,es/alternative-commentary16,es,0.8998894691467285
https://hitdarderut-haaretz.org/actualia16,en/alternative-commentary16,en,pt/alternative-commentary16,pt,0.8320799469947815
https://hitdarderut-haaretz.org/actualia16,es/alternative-commentary16,es,pt/alternative-commentary16,pt,0.9316315650939941
https://hitdarderut-haaretz.org/actualia17,en/alternative-commentary17,en,es/alternative-commentary17,es,0.9036498069763184
https://hitdarderut-haaretz.org/actualia17,en/alternative-commentary17,en,pt/alternative-commentary17,pt,0.9047863483428955
https://hitdarderut-haaretz.org/actualia17,es/alternative-commentary17,es,pt/alternative-commentary17,pt,0.98682701587677
https://hitdarderut-haaretz.org/actualia18,en/alternative-commentary18,en,es/alternative-commentary18,es,0.9296650290489197
https://hitdarderut-haaretz.org/actualia18,en/alternative-commentary18,en,pt/alternative-commentary18,pt,0.8951064348220825
https://hitdarderut-haaretz.org/actualia18,es/alternative-commentary18,es,pt/alternative-commentary18,pt,0.9235798120498657
https://hitdarderut-haaretz.org/actualia2,en/alternative-commentary2,en,es/alternative-commentary2,es,0.9150346517562866
https://hitdarderut-haaretz.org/actualia2,en/alternative-commentary2,en,pt/alternative-commentary2,pt,0.9381373524665833
https://hitdarderut-haaretz.org/actualia2,es/alternative-commentary2,es,pt/alternative-commentary2,pt,0.9618138074874878
https://hitdarderut-haaretz.org/actualia20,en/alternative-commentary20,en,es/alternative-commentary20,es,0.927819550037384
https://hitdarderut-haaretz.org/actualia20,en/alternative-commentary20,en,pt/alternative-commentary20,pt,0.9193976521492004
https://hitdarderut-haaretz.org/actualia20,es/alternative-commentary20,es,pt/alternative-commentary20,pt,0.9610828757286072
https://hitdarderut-haaretz.org/actualia21,en/alternative-commentary21,en,es/alternative-commentary21,es,0.9386067390441895
https://hitdarderut-haaretz.org/actualia21,en/alternative-commentary21,en,pt/alternative-commentary21,pt,0.932657778263092
https://hitdarderut-haaretz.org/actualia21,es/alternative-commentary21,es,pt/alternative-commentary21,pt,0.972359299659729
https://hitdarderut-haaretz.org/actualia22,en/alternative-commentary22,en,es/alternative-commentary22,es,0.869849443435669
https://hitdarderut-haaretz.org/actualia22,en/alternative-commentary22,en,pt/alternative-commentary22,pt,0.8744272589683533
https://hitdarderut-haaretz.org/actualia22,es/alternative-commentary22,es,pt/alternative-commentary22,pt,0.9020713567733765
https://hitdarderut-haaretz.org/actualia24,en/alternative-commentary24,en,es/alternative-commentary24,es,0.8948203325271606
https://hitdarderut-haaretz.org/actualia24,en/alternative-commentary24,en,pt/alternative-commentary24,pt,0.9070910811424255
https://hitdarderut-haaretz.org/actualia24,es/alternative-commentary24,es,pt/alternative-commentary24,pt,0.9484023451805115
https://hitdarderut-haaretz.org/actualia26,en/alternative-commentary26,en,es/alternative-commentary26,es,0.9695680141448975
https://hitdarderut-haaretz.org/actualia26,en/alternative-commentary26,en,pt/alternative-commentary26,pt,0.9556357860565186
https://hitdarderut-haaretz.org/actualia26,es/alternative-commentary26,es,pt/alternative-commentary26,pt,0.9813568592071533
https://hitdarderut-haaretz.org/actualia27,en/alternative-commentary27,en,es/alternative-commentary27,es,0.9400436282157898
https://hitdarderut-haaretz.org/actualia27,en/alternative-commentary27,en,pt/alternative-commentary27,pt,0.9228083491325378
https://hitdarderut-haaretz.org/actualia27,es/alternative-commentary27,es,pt/alternative-commentary27,pt,0.9355044364929199
https://hitdarderut-haaretz.org/actualia28,en/alternative-commentary28,en,es/alternative-commentary28,es,0.9377197027206421
https://hitdarderut-haaretz.org/actualia28,en/alternative-commentary28,en,pt/alternative-commentary28,pt,0.9293245673179626
https://hitdarderut-haaretz.org/actualia28,es/alternative-commentary28,es,pt/alternative-commentary28,pt,0.9705057144165039
https://hitdarderut-haaretz.org/actualia29,en/alternative-commentary29,en,es/alternative-commentary29,es,0.8796117901802063
https://hitdarderut-haaretz.org/actualia29,en/alternative-commentary29,en,pt/alternative-commentary29,pt,0.8188920021057129
https://hitdarderut-haaretz.org/actualia29,es/alternative-commentary29,es,pt/alternative-commentary29,pt,0.8937073349952698
https://hitdarderut-haaretz.org/actualia3,en/alternative-commentary3,en,es/alternative-commentary3,es,0.9370572566986084
https://hitdarderut-haaretz.org/actualia3,en/alternative-commentary3,en,pt/alternative-commentary3,pt,0.9061458110809326
https://hitdarderut-haaretz.org/actualia3,es/alternative-commentary3,es,pt/alternative-commentary3,pt,0.9700697064399719
https://hitdarderut-haaretz.org/actualia31,en/alternative-commentary31,en,es/alternative-commentary31,es,0.9214903116226196
https://hitdarderut-haaretz.org/actualia31,en/alternative-commentary31,en,pt/alternative-commentary31,pt,0.9158254861831665
https://hitdarderut-haaretz.org/actualia31,es/alternative-commentary31,es,pt/alternative-commentary31,pt,0.9916115999221802
https://hitdarderut-haaretz.org/actualia32,en/alternative-commentary32,en,es/alternative-commentary32,es,0.9237930774688721
https://hitdarderut-haaretz.org/actualia32,en/alternative-commentary32,en,pt/alternative-commentary32,pt,0.9232266545295715
https://hitdarderut-haaretz.org/actualia32,es/alternative-commentary32,es,pt/alternative-commentary32,pt,0.9773353338241577
https://hitdarderut-haaretz.org/actualia34,en/alternative-commentary34,en,es/alternative-commentary34,es,0.7493264675140381
https://hitdarderut-haaretz.org/actualia34,en/alternative-commentary34,en,pt/alternative-commentary34,pt,0.745964765548706
https://hitdarderut-haaretz.org/actualia34,es/alternative-commentary34,es,pt/alternative-commentary34,pt,0.9380060434341431
https://hitdarderut-haaretz.org/actualia35,en/alternative-commentary35,en,es/alternative-commentary35,es,0.9368278980255127
https://hitdarderut-haaretz.org/actualia35,en/alternative-commentary35,en,pt/alternative-commentary35,pt,0.9256939888000488
https://hitdarderut-haaretz.org/actualia35,es/alternative-commentary35,es,pt/alternative-commentary35,pt,0.9705278277397156
https://hitdarderut-haaretz.org/actualia36,en/alternative-commentary36,en,es/alternative-commentary36,es,0.9663936495780945
https://hitdarderut-haaretz.org/actualia36,en/alternative-commentary36,en,pt/alternative-commentary36,pt,0.9393104314804077
https://hitdarderut-haaretz.org/actualia36,es/alternative-commentary36,es,pt/alternative-commentary36,pt,0.9822007417678833
https://hitdarderut-haaretz.org/actualia40,en/alternative-commentary40,en,es/alternative-commentary40,es,0.890089750289917
https://hitdarderut-haaretz.org/actualia40,en/alternative-commentary40,en,pt/alternative-commentary40,pt,0.9181381464004517
https://hitdarderut-haaretz.org/actualia40,es/alternative-commentary40,es,pt/alternative-commentary40,pt,0.9400572180747986
https://hitdarderut-haaretz.org/actualia44,en/alternative-commentary44,en,es/alternative-commentary44,es,0.8884102702140808
https://hitdarderut-haaretz.org/actualia44,en/alternative-commentary44,en,pt/alternative-commentary44,pt,0.7805291414260864
https://hitdarderut-haaretz.org/actualia44,es/alternative-commentary44,es,pt/alternative-commentary44,pt,0.8689300417900085
https://hitdarderut-haaretz.org/actualia45,en/alternative-commentary45,en,es/alternative-commentary45,es,0.8905708193778992
https://hitdarderut-haaretz.org/actualia45,en/alternative-commentary45,en,pt/alternative-commentary45,pt,0.8896746635437012
https://hitdarderut-haaretz.org/actualia45,es/alternative-commentary45,es,pt/alternative-commentary45,pt,0.868502140045166
https://hitdarderut-haaretz.org/actualia46,en/alternative-commentary46,en,es/alternative-commentary46,es,0.9155941009521484
https://hitdarderut-haaretz.org/actualia46,en/alternative-commentary46,en,pt/alternative-commentary46,pt,0.9282357692718506
https://hitdarderut-haaretz.org/actualia46,es/alternative-commentary46,es,pt/alternative-commentary46,pt,0.9794120192527771
https://hitdarderut-haaretz.org/actualia48,en/alternative-commentary48,en,es/alternative-commentary48,es,0.9594933986663818
https://hitdarderut-haaretz.org/actualia48,en/alternative-commentary48,en,pt/alternative-commentary48,pt,0.9704461693763733
